Date, Open, High, Low, Close
01/03/20, 6703.6, 6788.2, 6703.6, 6733.5
01/02/20, 6681.2, 6709.2, 6669.2, 6690.6
12/31/19, 6791.5, 6791.9, 6684.1, 6684.1
12/30/19, 6819.3, 6824.7, 6764.6, 6804.9
12/27/19, 6797.8, 6822.1, 6796.3, 6821.7
12/24/19, 6787.3, 6794.9, 6776.2, 6794.2
12/23/19, 6811.8, 6811.8, 6785.1, 6785.1
12/20/19, 6834.7, 6842.8, 6808.4, 6816.3
12/19/19, 6854.6, 6872.8, 6819.9, 6833.1
12/18/19, 6849.4, 6863.8, 6833.4, 6851.4
12/17/19, 6853.5, 6871.3, 6839.1, 6847.3
12/16/19, 6741.6, 6866.1, 6741.6, 6849.7
12/13/19, 6721.8, 6753.1, 6721.5, 6739.7
12/12/19, 6750.5, 6753.0, 6701.2, 6708.8
12/11/19, 6709.9, 6752.6, 6709.7, 6752.6
12/10/19, 6731.7, 6734.3, 6702.9, 6706.9
12/09/19, 6717.1, 6740.0, 6711.9, 6730.0
12/06/19, 6683.6, 6712.3, 6681.8, 6707.0
12/05/19, 6621.8, 6684.6, 6621.8, 6683.0
12/04/19, 6691.7, 6692.3, 6590.1, 6606.5
12/03/19, 6846.3, 6847.1, 6703.7, 6712.3
12/02/19, 6848.4, 6890.0, 6840.6, 6862.3
11/29/19, 6869.1, 6893.7, 6846.0, 6846.0
11/28/19, 6854.7, 6879.5, 6854.0, 6864.0
11/27/19, 6790.3, 6852.1, 6788.0, 6850.6
11/26/19, 6739.4, 6797.6, 6737.9, 6787.5
11/25/19, 6712.0, 6758.0, 6712.0, 6731.4
11/22/19, 6679.0, 6725.1, 6679.0, 6709.8
11/21/19, 6714.3, 6714.6, 6637.3, 6672.9
11/20/19, 6812.0, 6812.0, 6714.9, 6722.4
11/19/19, 6773.0, 6814.2, 6755.0, 6814.2
11/18/19, 6798.6, 6799.2, 6749.1, 6766.8
11/15/19, 6736.6, 6798.7, 6736.6, 6793.7
11/14/19, 6693.1, 6744.8, 6687.7, 6735.1
11/13/19, 6755.6, 6766.2, 6698.3, 6698.4
11/12/19, 6768.4, 6779.3, 6730.9, 6753.0
11/11/19, 6717.3, 6772.5, 6717.3, 6772.5
11/08/19, 6729.3, 6742.2, 6706.1, 6724.1
11/07/19, 6660.8, 6727.7, 6659.7, 6726.6
11/06/19, 6706.5, 6715.2, 6658.2, 6660.2
11/05/19, 6695.6, 6725.9, 6678.9, 6697.1
11/04/19, 6680.9, 6713.5, 6670.8, 6686.9
11/01/19, 6651.8, 6671.7, 6634.7, 6669.1
10/31/19, 6681.0, 6686.2, 6639.8, 6663.4
10/30/19, 6742.4, 6742.4, 6680.2, 6689.5
10/29/19, 6745.4, 6761.5, 6735.7, 6745.4
10/28/19, 6739.9, 6766.2, 6739.8, 6740.7
